=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.28 19:00:25 =~=~=~=~=~=~=~=~=~=~=~=
--------------------------
Enter the file number you want to read (e.g., 1 for drop_data_1.csv):
Reading from file: --------------------------
drop_data_5.csv
Timestamp (ms),Total Accel (m/s^2),Peak Acceleration from drop (m/s^2),Impact Duration(ms),Surface Type
208808,11.32
208810,12.77
208813,0.90
208815,11.95
208818,15.73
208820,3.55
208823,12.49
208825,10.99
208828,2.04
208830,9.91
208833,13.16
208835,8.15
208838,10.25
208840,9.23
208843,5.98
208845,7.79
208848,10.99
208850,9.69
208852,6.13
208855,10.37
208857,11.06
208860,4.56
208862,8.87
208865,11.80
208867,4.02
208870,11.28
208872,13.00
208875,4.59
208877,8.24
208880,12.16
208882,5.92
208885,6.68
208887,12.85
208890,7.61
208892,7.51
208895,11.51
208897,7.70
208900,7.06
208902,11.04
208905,9.37
208907,6.97
208910,9.56
208912,9.74
208914,6.58
208917,10.28
208919,10.95
208922,6.36
208924,8.44
208927,10.74
208929,6.93
208932,9.30
208934,11.49
208937,6.62
208939,7.81
208942,10.95
208944,7.70
208947,8.78
208949,10.71
208952,7.65
208954,7.77
208957,10.27
208959,8.79
208962,7.42
208964,9.87
208967,9.65
208969,7.76
208972,8.86
208974,9.58
208977,7.96
208979,9.07
208981,10.14
208984,7.86
208986,8.31
208989,9.98
208991,8.20
208994,8.71
208996,9.97
208999,8.16
209001,8.26
209004,9.68
209006,8.66
209009,8.55
209011,9.55
209014,8.61
209016,8.45
209019,9.26
209021,8.92
209024,8.66
209026,8.87
209029,9.03
209031,8.60
209034,8.84
209036,9.23
209038,8.60
209041,8.67
209043,9.21
209046,8.80
209048,8.60
209051,9.27
209053,8.97
209056,8.77
209058,9.10
209061,8.84
209063,8.66
209066,8.92
209068,8.98
209071,8.89
209073,8.81
209076,9.00
209078,8.97
209081,8.68
209083,8.97
209086,8.96
209088,8.60
209091,9.10
209093,9.10
209096,8.60
209098,9.01
209100,9.07
209103,8.55
209105,9.04
209108,8.98
209110,8.52
209113,8.89
209115,9.12
209118,8.72
209120,8.84
209123,9.00
209125,8.86
209128,8.68
209130,8.99
209133,8.85
209135,8.69
209138,9.03
209140,8.95
209143,8.67
209145,9.00
209148,8.94
209150,8.62
209153,8.94
209155,9.13
209158,8.52
209160,8.87
209163,9.06
209165,8.71
209167,8.98
209170,9.10
209172,8.73
209175,8.78
209177,9.04
209180,8.71
209182,8.85
209185,9.05
209187,8.81
209190,8.71
209192,8.94
209195,8.95
209197,8.74
209200,8.97
209202,8.88
209205,8.76
209207,8.82
209210,8.92
209212,8.71
209215,8.85
209217,8.98
209220,8.82
209222,8.79
209224,8.86
209227,8.82
209229,8.89
209232,8.97
209234,8.80
209237,8.85
209239,8.88
209242,8.81
209244,8.86
209247,8.87
209249,8.89
209252,8.86
209254,8.95
209257,8.83
209259,8.75
209262,8.87
209264,8.91
209267,8.90
209269,8.87
209272,8.92
209274,8.83
209277,8.91
209279,8.92
209282,8.88
209284,8.87
209286,8.83
209289,8.97
209291,8.80
209294,8.84
209296,8.92
209299,8.78
209301,8.91
209304,8.90
209306,8.80
209309,8.99
209311,8.71
209314,8.79
209316,8.92
209319,8.87
209321,8.78
209324,8.96
209326,9.22
209329,9.30
209331,8.44
209334,9.36
209336,8.59
209339,8.52
209341,9.12
209344,9.12
209346,8.29
209348,8.93
209351,9.13
209353,8.29
209356,8.66
209358,9.06
209361,8.75
209363,8.95
209366,9.12
209368,9.56
209371,9.34
209373,10.16
209376,8.34
209378,9.33
209381,10.07
209383,14.56
209386,7.67
209388,7.19
209391,10.46
209393,11.56
209396,10.79
209398,8.48
209401,13.64
209403,3.25
209405,12.00
209408,8.46
209410,9.09
209413,9.05
209415,11.49
209418,5.78
209420,10.29
209423,7.80
209425,8.91
209428,7.52
209430,10.40
209433,8.57
209435,10.53
209438,8.68
209440,8.86
209443,10.22
209445,7.97
209448,9.93
209450,8.36
209453,8.87
209455,9.00
209458,9.35
209460,7.83
209463,9.96
209465,8.39
209468,8.83
209470,8.80
209473,9.01
209475,8.01
209477,9.36
209480,8.46
209482,8.18
209485,9.33
209487,8.60
209490,8.95
209492,8.70
209495,9.29
209497,8.45
209500,9.04
209502,9.08
209505,8.56
209507,8.64
209510,9.37
209512,8.55
209515,9.10
209517,9.14
209520,8.62
209522,8.85
209525,8.82
209527,8.95
209530,8.57
209532,9.26
209535,8.87
209537,8.77
209539,8.96
209542,8.90
209544,8.76
209547,9.03
209549,8.91
209552,8.81
209554,8.70
209557,8.97
209559,8.77
209562,8.90
209564,8.99
209567,8.77
209569,8.88
209572,8.71
209574,9.12
209577,8.62
209579,8.84
209582,9.03
209584,8.68
209587,8.88
209589,9.02
209592,8.70
209594,8.88
209596,9.13
209599,8.64
209601,8.84
209604,9.02
209606,8.76
209609,8.89
209611,9.02
209614,8.85
209616,8.93
209619,8.85
209621,8.79
209624,8.86
209626,8.71
209629,9.16
209631,8.63
209634,8.73
209636,9.31
209639,8.75
209641,7.92
209644,9.76
209646,9.11
209649,8.08
209651,9.13
209654,9.25
209656,7.77
209658,9.70
209661,9.36
209663,7.93
209666,9.08
209668,9.69
209671,8.14
209673,8.60
209676,9.37
209678,8.56
209681,8.86
209683,9.46
209686,8.56
209688,8.66
209691,9.14
209693,8.98
209696,7.64
209698,9.83
209701,9.09
209703,7.72
209706,9.40
209708,9.99
209711,7.83
209713,9.03
209715,9.46
209718,7.82
209720,9.48
209723,9.74
209725,7.86
209728,8.84
209730,9.30
209733,8.33
209735,8.85
209738,9.34
209740,8.50
209743,8.45
209745,9.28
209748,8.86
209750,8.46
209753,9.22
209755,9.21
209758,8.26
209760,8.74
209763,9.45
209765,8.26
209768,8.91
209770,9.77
209773,8.08
209775,8.64
209777,9.54
209780,8.26
209782,9.04
209785,9.51
209787,8.35
209790,8.57
209792,9.40
209795,8.64
209797,8.76
209800,9.23
209802,8.70
209805,8.67
209807,8.99
209810,8.99
209812,8.56
209815,8.89
209817,9.03
209820,8.58
209822,8.64
209825,9.29
209827,8.76
209830,8.80
209832,9.23
209834,8.72
209837,8.71
209839,9.18
209842,8.88
209844,8.73
209847,9.22
209849,8.73
209852,8.83
209854,8.94
209857,8.90
209859,8.90
209862,8.90
209864,8.95
209867,8.97
209869,8.74
209872,8.92
209874,8.69
209877,8.83
209879,8.86
209882,8.90
209884,8.72
209887,8.94
209889,8.73
209892,8.73
209894,8.96
209896,8.83
209899,8.80
209901,8.89
209904,8.81
209906,8.99
209909,8.73
209911,8.94
209914,8.96
209916,8.49
209919,9.26
209921,8.68
209924,8.57
209926,9.19
209929,8.86
209931,8.21
209934,8.92
209936,8.78
209939,8.07
209941,9.16
209944,9.20
209946,8.59
209949,9.39
209951,9.16
209953,8.58
209956,8.61
209958,9.26
209961,8.38
209963,8.48
209966,9.30
209968,8.63
209971,8.53
209973,9.24
209976,8.91
209978,8.41
209981,9.07
209983,8.90
209986,8.37
209988,9.22
209991,9.21
209993,8.45
209996,8.83
209998,9.08
210001,8.58
210003,9.02
210006,9.05
210008,8.71
210011,8.87
210013,8.98
210015,8.77
210018,8.79
210020,9.04
210023,8.85
210025,8.72
210028,9.00
210030,8.99
210033,8.63
210035,8.84
210038,9.11
210040,8.70
210043,8.62
210045,9.04
210048,8.74
210050,8.73
210053,9.09
210055,8.77
210058,8.56
210060,9.16
210063,9.00
210065,8.91
210068,9.61
210070,8.52
210072,8.85
210075,8.98
210077,8.72
210080,8.74
210083,9.01
210085,8.93
210088,8.47
210090,9.09
210093,8.86
210095,8.84
210098,8.86
210100,8.97
210102,8.76
210105,8.94
210107,9.29
210110,8.83
210112,8.99
210115,9.68
210117,9.50
210120,9.42
210122,9.93
210125,9.38
210127,9.07
210130,9.32
210132,9.14
210135,8.90
210137,9.05
210140,8.89
210142,8.74
210145,8.93
210147,9.12
210150,9.09
210152,9.24
210155,10.06
210157,9.57
210159,9.09
210162,10.18
210164,10.28
210167,9.33
210169,9.84
210172,10.28
210174,9.28
210177,9.82
210179,10.12
210182,9.46
210184,9.57
210187,10.04
210189,9.83
210192,9.67
210194,10.20
210197,10.05
210199,9.73
210202,10.14
210204,10.43
210207,9.47
210209,9.51
210212,11.21
210214,10.38
210217,10.27
210219,10.82
210221,10.66
210224,9.69
210226,9.99
210229,11.09
210231,10.05
210234,10.57
210236,10.97
210239,9.44
210241,9.86
210244,10.61
210246,9.74
210249,10.82
210251,11.74
210254,9.29
210256,9.71
210259,10.96
210261,10.54
210264,10.80
210266,10.92
210269,10.46
210271,10.16
210274,10.96
210276,10.74
210278,10.37
210281,10.90
210283,10.88
210286,10.36
210288,10.06
210291,10.86
210293,10.57
210296,10.66
210298,11.32
210301,10.78
210303,10.28
210306,12.25
210308,12.35
210311,10.27
210313,10.67
210316,9.84
210318,9.79
210321,10.88
210323,10.48
210326,11.42
210328,11.30
210331,10.45
210333,10.82
210336,10.15
210338,10.62
210340,11.10
210343,10.51
210345,10.91
210348,10.81
210350,10.13
210353,10.34
210355,10.83
210358,10.34
210360,10.54
210363,10.59
210365,10.34
210368,10.52
210370,10.54
210373,10.40
210375,10.22
210378,10.56
210380,10.40
210383,10.36
210385,10.33
210388,10.30
210390,10.22
210393,10.24
210395,10.35
210397,9.97
210400,10.09
210402,10.22
210405,10.15
210407,10.12
210410,10.14
210412,10.10
210415,10.06
210417,10.19
210420,10.09
210422,10.15
210425,10.05
210427,10.13
210430,10.02
210432,10.02
210435,10.08
210437,10.03
210440,9.94
210442,9.97
210445,9.83
210447,9.84
210450,9.73
210452,9.64
210454,9.41
210457,9.39
210459,9.22
210462,9.27
210464,9.26
210467,9.10
210469,8.97
210472,9.07
210474,8.91
210477,8.86
210479,8.89
210482,8.81
210484,8.86
210487,8.85
210489,8.91
210492,8.84
210494,8.82
210497,8.79
210499,8.68
210502,8.71
210504,8.69
210507,8.53
210509,8.41
210512,8.41
210514,8.45
210516,8.27
210519,8.38
210521,8.27
210524,8.19
210526,8.18
210529,8.18
210531,8.07
210534,8.10
210536,8.11
210539,7.95
210541,8.00
210544,8.06
210546,7.94
210549,7.84
210551,8.05
210554,7.79
210556,7.97
210559,7.92
210561,7.63
210564,7.75
210566,7.89
210569,7.68
210571,7.65
210573,7.80
210576,7.60
210578,7.45
210581,7.58
210583,7.54
210586,7.48
210588,7.56
210591,7.55
210593,7.49
210596,7.56
210598,7.48
210601,7.60
210603,7.47
210606,7.45
210608,7.44
210611,7.26
210613,7.26
210616,7.26
210618,7.28
210621,7.33
210623,7.23
210626,7.26
210628,7.22
210630,7.27
210633,7.33
210635,7.15
210638,7.16
210640,7.10
210643,7.19
210645,7.05
210648,7.18
210650,7.20
210653,7.06
210655,7.19
210658,7.07
210660,7.06
210663,6.94
210665,7.11
210668,6.99
210670,6.94
210673,6.98
210675,6.92
210678,7.00
210680,7.08
210683,7.10
210685,7.06
210687,7.11
210690,7.13
210692,7.08
210695,7.17
210697,7.16
210700,7.12
210702,7.14
210705,7.30
210707,7.26
210710,7.31
210712,7.42
210715,7.42
210717,7.34
210720,7.43
210722,7.37
210725,7.41
210727,7.31
210730,7.33
210732,7.35
210735,7.40
210737,7.33
210740,7.45
210742,7.41
210744,7.48
210747,7.52
210749,7.54
210752,7.60
210754,7.61
210757,7.79
210759,7.61
210762,7.62
210764,7.71
210767,7.70
210769,7.64
210772,7.77
210774,7.79
210777,7.96
210779,8.07
210782,8.02
210784,7.89
210787,8.04
210789,8.09
210792,8.13
210794,8.11
210797,8.11
210799,8.14
210801,8.05
210804,8.17
210806,8.16
210809,8.26
210811,8.18
210814,8.17
210816,8.19
210819,8.16
210821,8.15
210824,8.10
210826,8.11
210829,8.17
210831,8.21
210834,8.20
210836,8.20
210839,8.19
210841,8.22
210844,8.24
210846,8.38
210849,8.29
210851,8.28
210854,8.22
210856,8.18
210858,8.11
210861,8.21
210863,8.21
210866,8.14
210868,8.21
210871,8.18
210873,8.30
210876,8.32
210878,8.53
210881,8.44
210883,8.31
210886,8.52
210888,8.41
210891,8.37
210893,8.38
210896,8.23
210898,8.18
210901,8.33
210903,8.28
210906,8.22
210908,8.48
210911,8.36
210913,8.33
210915,8.37
210918,8.41
210920,8.43
210923,8.47
210925,8.57
210928,8.47
210930,8.49
210933,8.47
210935,8.51
210938,8.36
210940,8.31
210943,8.43
210945,8.36
210948,8.36
210950,8.46
210953,8.47
210955,8.46
210958,8.58
